datetime,symbol,open,high,low,close,volume
2023-09-09 02:00:00,COINBASE:SHIBUSD,7.6e-06,7.65e-06,7.55e-06,7.57e-06,391714921854.0
2023-09-10 02:00:00,COINBASE:SHIBUSD,7.57e-06,7.57e-06,7.21e-06,7.36e-06,961559038075.0
2023-09-11 02:00:00,COINBASE:SHIBUSD,7.36e-06,7.39e-06,6.96e-06,7.06e-06,1455470793440.0
2023-09-12 02:00:00,COINBASE:SHIBUSD,7.06e-06,7.36e-06,7.05e-06,7.17e-06,1028925773747.0
2023-09-13 02:00:00,COINBASE:SHIBUSD,7.17e-06,7.36e-06,7.14e-06,7.25e-06,844104517185.0
2023-09-14 02:00:00,COINBASE:SHIBUSD,7.25e-06,7.45e-06,7.21e-06,7.36e-06,630624260075.0
2023-09-15 02:00:00,COINBASE:SHIBUSD,7.37e-06,7.49e-06,7.31e-06,7.45e-06,524822816688.0
2023-09-16 02:00:00,COINBASE:SHIBUSD,7.45e-06,7.57e-06,7.33e-06,7.4e-06,576310688526.0
2023-09-17 02:00:00,COINBASE:SHIBUSD,7.39e-06,7.4e-06,7.1e-06,7.22e-06,563695020814.0
2023-09-18 02:00:00,COINBASE:SHIBUSD,7.22e-06,7.42e-06,7.15e-06,7.25e-06,607697427218.0
2023-09-19 02:00:00,COINBASE:SHIBUSD,7.26e-06,7.43e-06,7.22e-06,7.4e-06,549937649177.0
2023-09-20 02:00:00,COINBASE:SHIBUSD,7.41e-06,7.49e-06,7.27e-06,7.44e-06,632501120685.0
2023-09-21 02:00:00,COINBASE:SHIBUSD,7.44e-06,7.54e-06,7.22e-06,7.25e-06,761893421551.0
2023-09-22 02:00:00,COINBASE:SHIBUSD,7.24e-06,7.32e-06,7.15e-06,7.3e-06,487559274984.0
2023-09-23 02:00:00,COINBASE:SHIBUSD,7.3e-06,7.71e-06,7.29e-06,7.5e-06,997340500051.0
2023-09-24 02:00:00,COINBASE:SHIBUSD,7.5e-06,7.5e-06,7.27e-06,7.31e-06,534439980434.0
2023-09-25 02:00:00,COINBASE:SHIBUSD,7.31e-06,7.39e-06,7.18e-06,7.29e-06,523748580369.0
2023-09-26 02:00:00,COINBASE:SHIBUSD,7.29e-06,7.33e-06,7.18e-06,7.26e-06,423347024221.0
2023-09-27 02:00:00,COINBASE:SHIBUSD,7.25e-06,7.31e-06,7.14e-06,7.21e-06,503117593176.0
2023-09-28 02:00:00,COINBASE:SHIBUSD,7.22e-06,7.33e-06,7.2e-06,7.31e-06,542342404209.0
2023-09-29 02:00:00,COINBASE:SHIBUSD,7.31e-06,7.42e-06,7.27e-06,7.32e-06,537710444622.0
2023-09-30 02:00:00,COINBASE:SHIBUSD,7.32e-06,7.4e-06,7.3e-06,7.33e-06,440894892661.0
2023-10-01 02:00:00,COINBASE:SHIBUSD,7.33e-06,7.58e-06,7.33e-06,7.52e-06,576082621968.0
2023-10-02 02:00:00,COINBASE:SHIBUSD,7.53e-06,7.61e-06,7.2e-06,7.32e-06,915588282223.0
2023-10-03 02:00:00,COINBASE:SHIBUSD,7.31e-06,7.34e-06,7.22e-06,7.27e-06,426199851245.0
2023-10-04 02:00:00,COINBASE:SHIBUSD,7.28e-06,7.28e-06,7.07e-06,7.24e-06,636734008997.0
2023-10-05 02:00:00,COINBASE:SHIBUSD,7.23e-06,7.28e-06,7.12e-06,7.14e-06,531053281822.0
2023-10-06 02:00:00,COINBASE:SHIBUSD,7.14e-06,7.26e-06,7.13e-06,7.24e-06,459639696927.0
2023-10-07 02:00:00,COINBASE:SHIBUSD,7.24e-06,7.26e-06,7.18e-06,7.24e-06,288747593218.0
2023-10-08 02:00:00,COINBASE:SHIBUSD,7.24e-06,7.3e-06,7.17e-06,7.19e-06,437634113150.0
