datetime,symbol,open,high,low,close,volume
2023-06-16 02:00:00,COINBASE:DOTUSD,4.37,4.46,4.273,4.419,479397.152
2023-06-17 02:00:00,COINBASE:DOTUSD,4.418,4.565,4.392,4.528,321972.966
2023-06-18 02:00:00,COINBASE:DOTUSD,4.527,4.667,4.478,4.532,314341.146
2023-06-19 02:00:00,COINBASE:DOTUSD,4.534,4.587,4.434,4.53,254306.956
2023-06-20 02:00:00,COINBASE:DOTUSD,4.528,4.679,4.372,4.664,476078.205
2023-06-21 02:00:00,COINBASE:DOTUSD,4.663,4.866,4.636,4.821,587755.359
2023-06-22 02:00:00,COINBASE:DOTUSD,4.826,4.979,4.752,4.828,444555.357
2023-06-23 02:00:00,COINBASE:DOTUSD,4.824,5.138,4.822,5.103,564968.502
2023-06-24 02:00:00,COINBASE:DOTUSD,5.102,5.138,4.91,5.01,287166.623
2023-06-25 02:00:00,COINBASE:DOTUSD,5.015,5.245,5.004,5.196,440842.189
2023-06-26 02:00:00,COINBASE:DOTUSD,5.198,5.24,5.007,5.028,482951.086
2023-06-27 02:00:00,COINBASE:DOTUSD,5.025,5.155,5.0,5.097,279106.56
2023-06-28 02:00:00,COINBASE:DOTUSD,5.096,5.098,4.753,4.88,425377.541
2023-06-29 02:00:00,COINBASE:DOTUSD,4.88,5.242,4.87,4.986,515166.446
2023-06-30 02:00:00,COINBASE:DOTUSD,4.986,5.2,4.779,5.175,816048.003
2023-07-01 02:00:00,COINBASE:DOTUSD,5.176,5.365,5.11,5.348,355238.076
2023-07-02 02:00:00,COINBASE:DOTUSD,5.354,5.53,5.223,5.496,485838.143
2023-07-03 02:00:00,COINBASE:DOTUSD,5.498,5.635,5.378,5.43,446121.461
2023-07-04 02:00:00,COINBASE:DOTUSD,5.429,5.513,5.256,5.347,397769.498
2023-07-05 02:00:00,COINBASE:DOTUSD,5.35,5.383,5.116,5.207,457201.733
2023-07-06 02:00:00,COINBASE:DOTUSD,5.204,5.365,5.009,5.017,488098.33
2023-07-07 02:00:00,COINBASE:DOTUSD,5.015,5.179,4.976,5.12,350172.29
2023-07-08 02:00:00,COINBASE:DOTUSD,5.121,5.198,5.055,5.129,279788.677
2023-07-09 02:00:00,COINBASE:DOTUSD,5.13,5.161,5.065,5.084,240920.844
2023-07-10 02:00:00,COINBASE:DOTUSD,5.081,5.23,4.983,5.134,371131.589
2023-07-11 02:00:00,COINBASE:DOTUSD,5.133,5.217,5.089,5.213,410676.062
2023-07-12 02:00:00,COINBASE:DOTUSD,5.215,5.31,5.101,5.149,385358.952
2023-07-13 02:00:00,COINBASE:DOTUSD,5.149,5.553,5.098,5.546,1260819.147
2023-07-14 02:00:00,COINBASE:DOTUSD,5.554,5.745,5.298,5.452,1662233.766
2023-07-15 02:00:00,COINBASE:DOTUSD,5.454,5.566,5.385,5.433,428926.79
2023-07-16 02:00:00,COINBASE:DOTUSD,5.433,5.451,5.266,5.313,340215.016
2023-07-17 02:00:00,COINBASE:DOTUSD,5.313,5.42,5.172,5.305,524279.193
2023-07-18 02:00:00,COINBASE:DOTUSD,5.303,5.393,5.098,5.184,519525.209
2023-07-19 02:00:00,COINBASE:DOTUSD,5.183,5.261,5.131,5.193,384879.737
2023-07-20 02:00:00,COINBASE:DOTUSD,5.194,5.488,5.186,5.35,533813.577
2023-07-21 02:00:00,COINBASE:DOTUSD,5.349,5.705,5.336,5.488,799834.447
2023-07-22 02:00:00,COINBASE:DOTUSD,5.488,5.52,5.266,5.309,318032.314
2023-07-23 02:00:00,COINBASE:DOTUSD,5.314,5.491,5.278,5.389,239364.072
2023-07-24 02:00:00,COINBASE:DOTUSD,5.392,5.415,5.1,5.21,458144.904
2023-07-25 02:00:00,COINBASE:DOTUSD,5.211,5.255,5.128,5.176,338457.297
2023-07-26 02:00:00,COINBASE:DOTUSD,5.178,5.296,5.117,5.234,292139.779
2023-07-27 02:00:00,COINBASE:DOTUSD,5.236,5.336,5.18,5.235,322266.767
2023-07-28 02:00:00,COINBASE:DOTUSD,5.236,5.272,5.16,5.219,259269.118
2023-07-29 02:00:00,COINBASE:DOTUSD,5.219,5.259,5.204,5.248,168754.018
2023-07-30 02:00:00,COINBASE:DOTUSD,5.246,5.278,5.09,5.178,289674.725
2023-07-31 02:00:00,COINBASE:DOTUSD,5.18,5.26,5.048,5.108,357372.564
2023-08-01 02:00:00,COINBASE:DOTUSD,5.105,5.21,4.952,5.207,430928.72
2023-08-02 02:00:00,COINBASE:DOTUSD,5.206,5.219,5.006,5.057,335652.168
2023-08-03 02:00:00,COINBASE:DOTUSD,5.056,5.072,4.936,4.978,263504.527
2023-08-04 02:00:00,COINBASE:DOTUSD,4.978,5.042,4.935,4.987,346217.6
2023-08-05 02:00:00,COINBASE:DOTUSD,4.988,4.988,4.924,4.97,188922.429
2023-08-06 02:00:00,COINBASE:DOTUSD,4.97,5.038,4.952,4.999,250411.053
2023-08-07 02:00:00,COINBASE:DOTUSD,4.999,5.04,4.832,4.961,407211.702
2023-08-08 02:00:00,COINBASE:DOTUSD,4.958,5.1,4.927,5.059,360567.503
2023-08-09 02:00:00,COINBASE:DOTUSD,5.059,5.104,4.992,5.06,312327.635
