datetime,symbol,open,high,low,close,volume
2024-06-16 02:00:00,COINBASE:SOLUSD,145.45,151.26,142.97,151.22,348354.54491309
2024-06-17 02:00:00,COINBASE:SOLUSD,151.22,151.73,139.77,143.25,744074.6002912
2024-06-18 02:00:00,COINBASE:SOLUSD,143.24,143.76,128.0,137.37,1722471.07323113
2024-06-19 02:00:00,COINBASE:SOLUSD,137.34,141.88,134.41,135.59,773852.80461872
2024-06-20 02:00:00,COINBASE:SOLUSD,135.59,141.28,131.81,133.49,1122806.59179073
2024-06-21 02:00:00,COINBASE:SOLUSD,133.49,135.34,128.61,134.54,1144767.97414723
2024-06-22 02:00:00,COINBASE:SOLUSD,134.56,136.64,132.91,133.65,318936.95295139
2024-06-23 02:00:00,COINBASE:SOLUSD,133.64,135.05,128.0,128.59,454001.96818
2024-06-24 02:00:00,COINBASE:SOLUSD,128.58,132.57,122.18,132.26,2215563.26554733
2024-06-25 02:00:00,COINBASE:SOLUSD,132.27,139.89,131.14,136.53,1452524.92996686
2024-06-26 02:00:00,COINBASE:SOLUSD,136.54,140.37,134.76,136.72,627197.30098717
2024-06-27 02:00:00,COINBASE:SOLUSD,136.73,151.15,135.06,149.48,1105081.8834665
2024-06-28 02:00:00,COINBASE:SOLUSD,149.48,150.62,138.72,139.75,1078777.77755784
2024-06-29 02:00:00,COINBASE:SOLUSD,139.75,142.97,139.45,140.0,733598.96608316
2024-06-30 02:00:00,COINBASE:SOLUSD,140.0,147.44,136.89,146.37,758552.42858306
2024-07-01 02:00:00,COINBASE:SOLUSD,146.36,149.11,145.67,146.52,846426.29903135
2024-07-02 02:00:00,COINBASE:SOLUSD,146.51,154.8,145.98,153.81,731013.97753863
2024-07-03 02:00:00,COINBASE:SOLUSD,153.81,154.26,138.91,140.69,1407380.62455737
2024-07-04 02:00:00,COINBASE:SOLUSD,140.69,142.61,127.14,127.83,1284185.6425214
2024-07-05 02:00:00,COINBASE:SOLUSD,127.83,136.45,121.01,134.31,1798686.89675642
2024-07-06 02:00:00,COINBASE:SOLUSD,134.31,144.31,132.36,143.07,691487.77602451
