datetime,symbol,open,high,low,close,volume
2022-03-18 01:00:00,COINBASE:ADAUSD,0.8363,0.86,0.8216,0.852,44879680.44440002
2022-03-19 01:00:00,COINBASE:ADAUSD,0.8522,0.9164,0.851,0.903,60988670.79439996
2022-03-20 01:00:00,COINBASE:ADAUSD,0.9029,0.916,0.8643,0.879,45508548.47435002
2022-03-21 01:00:00,COINBASE:ADAUSD,0.8788,0.93,0.8631,0.9179,62081430.15439992
2022-03-22 01:00:00,COINBASE:ADAUSD,0.9179,0.9887,0.908,0.9753,97598600.5244
2022-03-23 01:00:00,COINBASE:ADAUSD,0.9752,1.1104,0.9575,1.1087,202463412.7744
2022-03-24 01:00:00,COINBASE:ADAUSD,1.1086,1.19,1.0805,1.1314,193739468.77439988
2022-03-25 01:00:00,COINBASE:ADAUSD,1.1314,1.1669,1.0723,1.0966,132892712.12439981
2022-03-26 01:00:00,COINBASE:ADAUSD,1.0969,1.1595,1.08,1.153,79564451.2143999
2022-03-27 01:00:00,COINBASE:ADAUSD,1.1528,1.1872,1.1052,1.1845,65733416.12439994
2022-03-28 02:00:00,COINBASE:ADAUSD,1.1842,1.2462,1.158,1.1694,136032679.50439987
2022-03-29 02:00:00,COINBASE:ADAUSD,1.1691,1.2426,1.1667,1.1909,91591733.31439982
2022-03-30 02:00:00,COINBASE:ADAUSD,1.1911,1.2182,1.1628,1.1906,72542288.01439995
2022-03-31 02:00:00,COINBASE:ADAUSD,1.1903,1.2287,1.1331,1.1417,113833229.21440001
2022-04-01 02:00:00,COINBASE:ADAUSD,1.1416,1.1751,1.104,1.1654,86040630.28439982
2022-04-02 02:00:00,COINBASE:ADAUSD,1.1662,1.1961,1.1476,1.1562,56939386.00439994
2022-04-03 02:00:00,COINBASE:ADAUSD,1.1564,1.2,1.1436,1.1865,37982559.6644
2022-04-04 02:00:00,COINBASE:ADAUSD,1.1863,1.2458,1.1608,1.2117,99276047.9843998
2022-04-05 02:00:00,COINBASE:ADAUSD,1.212,1.2187,1.1637,1.1705,46556645.88439993
2022-04-06 02:00:00,COINBASE:ADAUSD,1.1712,1.1733,1.0479,1.0525,113961565.02439994
2022-04-07 02:00:00,COINBASE:ADAUSD,1.0524,1.1195,1.039,1.0894,66020852.47439988
2022-04-08 02:00:00,COINBASE:ADAUSD,1.0887,1.0995,1.019,1.0245,56221626.16439997
2022-04-09 02:00:00,COINBASE:ADAUSD,1.0247,1.0481,1.0213,1.0453,28494643.27439998
2022-04-10 02:00:00,COINBASE:ADAUSD,1.0453,1.0699,1.0231,1.0274,26316466.21439999
2022-04-11 02:00:00,COINBASE:ADAUSD,1.0274,1.0329,0.917,0.9198,96928149.02439982
2022-04-12 02:00:00,COINBASE:ADAUSD,0.9199,0.9836,0.9157,0.9545,62045907.54439997
2022-04-13 02:00:00,COINBASE:ADAUSD,0.9545,0.98,0.9349,0.9748,42403390.39439994
2022-04-14 02:00:00,COINBASE:ADAUSD,0.9748,0.9854,0.9228,0.9325,43069932.88439987
2022-04-15 02:00:00,COINBASE:ADAUSD,0.9322,0.9589,0.9293,0.9553,28190817.19440002
2022-04-16 02:00:00,COINBASE:ADAUSD,0.9558,0.963,0.9374,0.9514,20412257.9844
2022-04-17 02:00:00,COINBASE:ADAUSD,0.9514,0.9625,0.912,0.9148,22296536.1244
2022-04-18 02:00:00,COINBASE:ADAUSD,0.9148,0.9382,0.8744,0.9367,56052555.89439982
2022-04-19 02:00:00,COINBASE:ADAUSD,0.9367,0.957,0.9272,0.9524,37117160.64440002
2022-04-20 02:00:00,COINBASE:ADAUSD,0.9526,0.9755,0.9309,0.9367,39035207.22439991
2022-04-21 02:00:00,COINBASE:ADAUSD,0.9367,0.9707,0.8922,0.9102,44822082.23439997
2022-04-22 02:00:00,COINBASE:ADAUSD,0.9101,0.9247,0.8908,0.9064,33272639.39440002
2022-04-23 02:00:00,COINBASE:ADAUSD,0.9064,0.9128,0.8821,0.8873,20009235.27439998
2022-04-24 02:00:00,COINBASE:ADAUSD,0.8869,0.899,0.8772,0.886,21840374.54439998
2022-04-25 02:00:00,COINBASE:ADAUSD,0.8859,0.9033,0.8267,0.8975,82751434.24439979
2022-04-26 02:00:00,COINBASE:ADAUSD,0.898,0.9032,0.8166,0.8259,68602667.3943999
2022-04-27 02:00:00,COINBASE:ADAUSD,0.8258,0.856,0.8192,0.8405,50643834.46439986
2022-04-28 02:00:00,COINBASE:ADAUSD,0.8405,0.8529,0.8257,0.8433,45973421.78439998
2022-04-29 02:00:00,COINBASE:ADAUSD,0.8432,0.8494,0.7893,0.8049,59378862.26439985
2022-04-30 02:00:00,COINBASE:ADAUSD,0.805,0.818,0.7357,0.7558,64218106.8844
2022-05-01 02:00:00,COINBASE:ADAUSD,0.7558,0.8002,0.7452,0.7896,63290070.88439986
2022-05-02 02:00:00,COINBASE:ADAUSD,0.7895,0.7971,0.7636,0.7806,51891229.76439995
2022-05-03 02:00:00,COINBASE:ADAUSD,0.7805,0.7994,0.76,0.7711,38413769.33439999
2022-05-04 02:00:00,COINBASE:ADAUSD,0.7711,0.899,0.7676,0.8983,77542412.73439994
2022-05-05 02:00:00,COINBASE:ADAUSD,0.8983,0.9052,0.7717,0.7884,115818008.89439987
2022-05-06 02:00:00,COINBASE:ADAUSD,0.7883,0.7993,0.7622,0.7831,67535550.14439982
2022-05-07 02:00:00,COINBASE:ADAUSD,0.7833,0.7859,0.7467,0.7598,40658639.32439998
2022-05-08 02:00:00,COINBASE:ADAUSD,0.7598,0.7659,0.7256,0.7403,60522189.01439988
2022-05-09 02:00:00,COINBASE:ADAUSD,0.7401,0.754,0.6,0.6018,213289138.32440016
2022-05-10 02:00:00,COINBASE:ADAUSD,0.6028,0.7021,0.5829,0.6283,229219433.51440004
2022-05-11 02:00:00,COINBASE:ADAUSD,0.6282,0.6629,0.4685,0.5161,312298647.9838899
2022-05-12 02:00:00,COINBASE:ADAUSD,0.5161,0.55,0.39,0.4724,302112281.2043995
2022-05-13 02:00:00,COINBASE:ADAUSD,0.4723,0.6069,0.4678,0.5281,194481602.37439993
2022-05-14 02:00:00,COINBASE:ADAUSD,0.5281,0.5565,0.4879,0.5371,90751875.7543999
2022-05-15 02:00:00,COINBASE:ADAUSD,0.537,0.5999,0.5137,0.598,84918919.9143999
2022-05-16 02:00:00,COINBASE:ADAUSD,0.5977,0.6135,0.5436,0.5561,95586214.41439994
2022-05-17 02:00:00,COINBASE:ADAUSD,0.5561,0.5996,0.55,0.577,72308439.50439993
2022-05-18 02:00:00,COINBASE:ADAUSD,0.577,0.5859,0.502,0.5053,87090432.74440016
2022-05-19 02:00:00,COINBASE:ADAUSD,0.5051,0.5464,0.4909,0.5326,73137010.37439981
2022-05-20 02:00:00,COINBASE:ADAUSD,0.5329,0.5442,0.5008,0.5155,83778682.94439997
2022-05-21 02:00:00,COINBASE:ADAUSD,0.5157,0.538,0.5081,0.5279,35245556.23440003
2022-05-22 02:00:00,COINBASE:ADAUSD,0.5279,0.5478,0.521,0.5413,35281038.39440002
2022-05-23 02:00:00,COINBASE:ADAUSD,0.5411,0.5589,0.5036,0.5129,66212225.2643999
2022-05-24 02:00:00,COINBASE:ADAUSD,0.513,0.5246,0.4921,0.5214,75384777.89439994
2022-05-25 02:00:00,COINBASE:ADAUSD,0.5213,0.532,0.5064,0.5139,54033189.3843999
2022-05-26 02:00:00,COINBASE:ADAUSD,0.5138,0.5204,0.461,0.4785,93330369.68439981
2022-05-27 02:00:00,COINBASE:ADAUSD,0.4785,0.4834,0.445,0.4562,133272478.45439982
2022-05-28 02:00:00,COINBASE:ADAUSD,0.4561,0.4688,0.4455,0.4643,52909618.3444001
2022-05-29 02:00:00,COINBASE:ADAUSD,0.4643,0.4824,0.4558,0.4817,49099450.18439998
2022-05-30 02:00:00,COINBASE:ADAUSD,0.4818,0.5779,0.4765,0.5697,124235454.05439986
2022-05-31 02:00:00,COINBASE:ADAUSD,0.5697,0.689,0.5677,0.6263,285278832.17440087
2022-06-01 02:00:00,COINBASE:ADAUSD,0.6264,0.631,0.5358,0.5515,177173384.32439995
2022-06-02 02:00:00,COINBASE:ADAUSD,0.5514,0.598,0.5483,0.587,172333844.24439982
2022-06-03 02:00:00,COINBASE:ADAUSD,0.5871,0.6049,0.5378,0.5594,139224383.5243997
2022-06-04 02:00:00,COINBASE:ADAUSD,0.5593,0.5714,0.5441,0.5662,72041202.18439993
2022-06-05 02:00:00,COINBASE:ADAUSD,0.5663,0.5803,0.5532,0.5669,60763844.3444
2022-06-06 02:00:00,COINBASE:ADAUSD,0.567,0.6454,0.5646,0.6087,210533266.08440042
2022-06-07 02:00:00,COINBASE:ADAUSD,0.6087,0.645,0.5706,0.6136,186055410.29439992
2022-06-08 02:00:00,COINBASE:ADAUSD,0.6134,0.6691,0.6082,0.6405,205687679.34440005
2022-06-09 02:00:00,COINBASE:ADAUSD,0.6404,0.6573,0.625,0.6321,123278887.47439997
2022-06-10 02:00:00,COINBASE:ADAUSD,0.6321,0.6356,0.5702,0.5737,162892413.6644002
2022-06-11 02:00:00,COINBASE:ADAUSD,0.5736,0.617,0.5424,0.5535,128648023.3043997
2022-06-12 02:00:00,COINBASE:ADAUSD,0.5538,0.5606,0.4885,0.4899,205421507.51439995
2022-06-13 02:00:00,COINBASE:ADAUSD,0.4899,0.4983,0.4357,0.4636,421461647.8543996
2022-06-14 02:00:00,COINBASE:ADAUSD,0.4635,0.5194,0.4352,0.4828,318937751.46439964
2022-06-15 02:00:00,COINBASE:ADAUSD,0.4826,0.5388,0.4478,0.5343,338329443.2144
2022-06-16 02:00:00,COINBASE:ADAUSD,0.5339,0.5466,0.4666,0.4756,160047664.59439975
2022-06-17 02:00:00,COINBASE:ADAUSD,0.4754,0.5032,0.4708,0.4868,130496025.1243999
2022-06-18 02:00:00,COINBASE:ADAUSD,0.4868,0.4947,0.4201,0.4544,178043518.80439988
2022-06-19 02:00:00,COINBASE:ADAUSD,0.4543,0.4895,0.4352,0.484,160363101.99439996
2022-06-20 02:00:00,COINBASE:ADAUSD,0.484,0.5088,0.4607,0.4913,127270548.85439982
2022-06-21 02:00:00,COINBASE:ADAUSD,0.491,0.5105,0.4741,0.4808,147705203.68439993
2022-06-22 02:00:00,COINBASE:ADAUSD,0.4808,0.4809,0.4556,0.4589,101466584.90439977
2022-06-23 02:00:00,COINBASE:ADAUSD,0.459,0.483,0.456,0.4798,95619781.46439995
2022-06-24 02:00:00,COINBASE:ADAUSD,0.4799,0.5093,0.4757,0.4979,107704836.1844
2022-06-25 02:00:00,COINBASE:ADAUSD,0.498,0.5073,0.4782,0.4982,80940603.36439994
2022-06-26 02:00:00,COINBASE:ADAUSD,0.4981,0.5255,0.4885,0.4899,100720967.97439992
2022-06-27 02:00:00,COINBASE:ADAUSD,0.4897,0.5086,0.4755,0.4853,80509659.3343899
