datetime,symbol,open,high,low,close,volume
2024-07-12 02:00:00,COINBASE:XRPUSD,0.4491,0.478,0.4445,0.4747,99159110.6053409
2024-07-13 02:00:00,COINBASE:XRPUSD,0.4747,0.5662,0.4739,0.5259,202492070.52539602
2024-07-14 02:00:00,COINBASE:XRPUSD,0.5257,0.5401,0.5139,0.5204,90856116.30194403
2024-07-15 02:00:00,COINBASE:XRPUSD,0.5205,0.5404,0.5205,0.5375,107839054.85284624
2024-07-16 02:00:00,COINBASE:XRPUSD,0.5374,0.5946,0.5326,0.5795,177056203.56578755
2024-07-17 02:00:00,COINBASE:XRPUSD,0.5796,0.6378,0.5786,0.6261,190175991.52297992
2024-07-18 02:00:00,COINBASE:XRPUSD,0.626,0.637,0.5571,0.5696,161709270.93165296
2024-07-19 02:00:00,COINBASE:XRPUSD,0.5696,0.5869,0.5402,0.5736,126785673.88341108
2024-07-20 02:00:00,COINBASE:XRPUSD,0.5736,0.6049,0.5705,0.5941,74447998.02890594
2024-07-21 02:00:00,COINBASE:XRPUSD,0.594,0.6081,0.5722,0.5987,60264754.0883589
2024-07-22 02:00:00,COINBASE:XRPUSD,0.5985,0.6252,0.5855,0.6084,87564353.31286012
2024-07-23 02:00:00,COINBASE:XRPUSD,0.6084,0.62,0.5801,0.5979,63598734.61703702
2024-07-24 02:00:00,COINBASE:XRPUSD,0.5976,0.6331,0.5914,0.6182,87053229.56445123
2024-07-25 02:00:00,COINBASE:XRPUSD,0.618,0.6257,0.5836,0.5995,103534009.647846
2024-07-26 02:00:00,COINBASE:XRPUSD,0.5994,0.6093,0.5858,0.6035,66221693.76946106
2024-07-27 02:00:00,COINBASE:XRPUSD,0.6035,0.6095,0.5825,0.5959,43529628.80330094
2024-07-28 02:00:00,COINBASE:XRPUSD,0.5954,0.6146,0.5913,0.6014,31077953.312796
2024-07-29 02:00:00,COINBASE:XRPUSD,0.6013,0.6123,0.5906,0.6017,42352975.39281399
2024-07-30 02:00:00,COINBASE:XRPUSD,0.6017,0.6375,0.5953,0.6275,101236892.63230602
2024-07-31 02:00:00,COINBASE:XRPUSD,0.6277,0.6587,0.6214,0.623,126810410.42046188
2024-08-01 02:00:00,COINBASE:XRPUSD,0.6229,0.6303,0.5673,0.5961,109039530.54417999
2024-08-02 02:00:00,COINBASE:XRPUSD,0.5962,0.5965,0.546,0.56,95832605.1730519
2024-08-03 02:00:00,COINBASE:XRPUSD,0.56,0.5772,0.5403,0.5555,63752639.22155198
2024-08-04 02:00:00,COINBASE:XRPUSD,0.5557,0.5588,0.5132,0.5229,59832579.62538898
2024-08-05 02:00:00,COINBASE:XRPUSD,0.5226,0.5256,0.4318,0.4891,245877113.4040571
2024-08-06 02:00:00,COINBASE:XRPUSD,0.4892,0.5192,0.4879,0.5063,103764268.93331498
2024-08-07 02:00:00,COINBASE:XRPUSD,0.5063,0.6459,0.4923,0.6005,278735385.4037069
2024-08-08 02:00:00,COINBASE:XRPUSD,0.6004,0.6427,0.5786,0.6167,216021019.84537002
2024-08-09 02:00:00,COINBASE:XRPUSD,0.6169,0.6248,0.5675,0.5809,123201179.56018117
2024-08-10 02:00:00,COINBASE:XRPUSD,0.5809,0.6023,0.5783,0.5842,52123508.96229598
2024-08-11 02:00:00,COINBASE:XRPUSD,0.5842,0.5938,0.5453,0.5531,65722052.04405702
2024-08-12 02:00:00,COINBASE:XRPUSD,0.5529,0.5803,0.5499,0.5684,73771366.12245107
2024-08-13 02:00:00,COINBASE:XRPUSD,0.5685,0.5837,0.5625,0.5772,63885580.84305698
2024-08-14 02:00:00,COINBASE:XRPUSD,0.5772,0.583,0.5622,0.5689,64091289.62945205
2024-08-15 02:00:00,COINBASE:XRPUSD,0.5688,0.5775,0.5506,0.561,70112935.71603596
2024-08-16 02:00:00,COINBASE:XRPUSD,0.561,0.5717,0.5535,0.564,50060297.43599101
2024-08-17 02:00:00,COINBASE:XRPUSD,0.5639,0.5711,0.5612,0.5666,28048381.97681002
