datetime,symbol,open,high,low,close,volume
2023-06-03 02:00:00,COINBASE:DOGEUSD,0.07259,0.07301,0.0722,0.07274,49795769.09999994
2023-06-04 02:00:00,COINBASE:DOGEUSD,0.07274,0.07333,0.07233,0.07248,55490786.20000007
2023-06-05 02:00:00,COINBASE:DOGEUSD,0.07248,0.0727,0.06352,0.06649,285124425.9999999
2023-06-06 02:00:00,COINBASE:DOGEUSD,0.06645,0.07199,0.06588,0.07028,267056648.20000002
2023-06-07 02:00:00,COINBASE:DOGEUSD,0.07027,0.07034,0.0667,0.06731,157707227.69999957
2023-06-08 02:00:00,COINBASE:DOGEUSD,0.0673,0.06851,0.06701,0.06795,91903157.1999999
2023-06-09 02:00:00,COINBASE:DOGEUSD,0.06795,0.07117,0.06733,0.06951,177732777.2999996
2023-06-10 02:00:00,COINBASE:DOGEUSD,0.0695,0.07138,0.056,0.06179,667311225.8000017
2023-06-11 02:00:00,COINBASE:DOGEUSD,0.06183,0.06293,0.06094,0.06154,212584007.29999968
2023-06-12 02:00:00,COINBASE:DOGEUSD,0.06155,0.06171,0.05985,0.06144,222675710.20000014
2023-06-13 02:00:00,COINBASE:DOGEUSD,0.06142,0.06279,0.0605,0.06174,168254584.4999998
2023-06-14 02:00:00,COINBASE:DOGEUSD,0.06172,0.06218,0.05821,0.0604,259159810.40000007
2023-06-15 02:00:00,COINBASE:DOGEUSD,0.0604,0.06192,0.05961,0.06148,159528619.2000001
2023-06-16 02:00:00,COINBASE:DOGEUSD,0.06149,0.06274,0.06067,0.06213,145020788.1999998
2023-06-17 02:00:00,COINBASE:DOGEUSD,0.06213,0.06293,0.06167,0.06217,103930936.79999992
2023-06-18 02:00:00,COINBASE:DOGEUSD,0.06217,0.06396,0.06105,0.0621,233473197.5999999
2023-06-19 02:00:00,COINBASE:DOGEUSD,0.06209,0.06281,0.06147,0.06242,144194697.4000001
2023-06-20 02:00:00,COINBASE:DOGEUSD,0.06243,0.06316,0.0607,0.06315,174506184.89999968
2023-06-21 02:00:00,COINBASE:DOGEUSD,0.06314,0.06679,0.06284,0.0656,383331066.80000055
2023-06-22 02:00:00,COINBASE:DOGEUSD,0.06561,0.06939,0.06504,0.06556,406556862.5999992
2023-06-23 02:00:00,COINBASE:DOGEUSD,0.06556,0.07015,0.06524,0.06827,412532022.2999999
2023-06-24 02:00:00,COINBASE:DOGEUSD,0.06828,0.06845,0.06518,0.06673,378442568.30000025
2023-06-25 02:00:00,COINBASE:DOGEUSD,0.06674,0.06805,0.06639,0.06675,241236617.30000028
