datetime,symbol,open,high,low,close,volume
2022-06-16 02:00:00,COINBASE:DOTUSD,8.486,8.544,6.964,7.113,2754241.0354
2022-06-17 02:00:00,COINBASE:DOTUSD,7.119,7.456,7.025,7.269,1991633.01736
2022-06-18 02:00:00,COINBASE:DOTUSD,7.27,7.409,6.442,7.044,2619527.75231
2022-06-19 02:00:00,COINBASE:DOTUSD,7.041,7.638,6.76,7.521,1759126.20037
2022-06-20 02:00:00,COINBASE:DOTUSD,7.521,8.01,7.162,7.87,1462451.07035
2022-06-21 02:00:00,COINBASE:DOTUSD,7.857,8.276,7.666,7.751,1350342.29022
2022-06-22 02:00:00,COINBASE:DOTUSD,7.751,7.811,7.345,7.384,1500508.19735
2022-06-23 02:00:00,COINBASE:DOTUSD,7.383,7.815,7.35,7.774,2411852.75938
2022-06-24 02:00:00,COINBASE:DOTUSD,7.773,8.332,7.72,8.182,1269781.62531
2022-06-25 02:00:00,COINBASE:DOTUSD,8.186,8.364,7.789,8.126,1001489.81214
2022-06-26 02:00:00,COINBASE:DOTUSD,8.129,8.48,7.803,7.832,1067484.29214
2022-06-27 02:00:00,COINBASE:DOTUSD,7.825,8.198,7.677,7.734,1006353.41512
2022-06-28 02:00:00,COINBASE:DOTUSD,7.733,7.988,7.251,7.303,1278408.15123
2022-06-29 02:00:00,COINBASE:DOTUSD,7.306,7.438,6.947,7.029,1856898.10334
2022-06-30 02:00:00,COINBASE:DOTUSD,7.031,7.099,6.632,7.064,2030836.81736
2022-07-01 02:00:00,COINBASE:DOTUSD,7.065,7.246,6.537,6.743,1990294.54937
2022-07-02 02:00:00,COINBASE:DOTUSD,6.745,6.902,6.616,6.814,1019043.13113
2022-07-03 02:00:00,COINBASE:DOTUSD,6.816,6.981,6.605,6.844,624293.71221
2022-07-04 02:00:00,COINBASE:DOTUSD,6.844,7.206,6.66,7.156,879133.28571
2022-07-05 02:00:00,COINBASE:DOTUSD,7.164,7.212,6.592,6.845,1478250.84528
2022-07-06 02:00:00,COINBASE:DOTUSD,6.84,7.005,6.683,6.914,1766624.15317
2022-07-07 02:00:00,COINBASE:DOTUSD,6.917,7.347,6.878,7.3,1184105.1092
2022-07-08 02:00:00,COINBASE:DOTUSD,7.303,7.455,6.929,7.041,961288.23919
2022-07-09 02:00:00,COINBASE:DOTUSD,7.035,7.357,7.035,7.249,661331.748
2022-07-10 02:00:00,COINBASE:DOTUSD,7.249,7.262,6.758,6.855,846047.37168
2022-07-11 02:00:00,COINBASE:DOTUSD,6.855,6.9,6.5,6.521,1104817.6981
2022-07-12 02:00:00,COINBASE:DOTUSD,6.52,6.618,6.25,6.273,1269236.45316
2022-07-13 02:00:00,COINBASE:DOTUSD,6.279,6.547,6.0,6.464,1355171.42574
2022-07-14 02:00:00,COINBASE:DOTUSD,6.461,6.764,6.28,6.722,893513.05902
2022-07-15 02:00:00,COINBASE:DOTUSD,6.72,6.99,6.652,6.794,1465435.41815
2022-07-16 02:00:00,COINBASE:DOTUSD,6.795,7.218,6.561,7.192,1639040.31294
2022-07-17 02:00:00,COINBASE:DOTUSD,7.193,7.326,6.874,6.919,1028575.2628
2022-07-18 02:00:00,COINBASE:DOTUSD,6.915,7.723,6.903,7.654,2110478.15838
2022-07-19 02:00:00,COINBASE:DOTUSD,7.655,8.032,7.496,7.794,2533959.51033
2022-07-20 02:00:00,COINBASE:DOTUSD,7.794,8.081,7.366,7.469,2044848.03926
2022-07-21 02:00:00,COINBASE:DOTUSD,7.46,7.595,7.175,7.528,1407711.3282
2022-07-22 02:00:00,COINBASE:DOTUSD,7.528,7.856,7.26,7.295,1187015.07606
2022-07-23 02:00:00,COINBASE:DOTUSD,7.294,7.492,7.082,7.321,1093503.35474
